#,glass,cardboard,type5,crisps,batteries,cartons,type4,envelopes,aerosols,wipes,plasticbottle,toothpaste,cleaningbottles,petfood,tins,Score,Start Date (UTC),,Submit Date (UTC),Network ID
m3aa4f6uk814y94akm3aaqi7haaznf9s,Bottle bank,1,1,1,Battery bank,1,1,1,1,1,1,1,1,1,1,11,2020-06-04 18:27:54,,2020-06-04 18:29:51,219f979e11
5dtlwj1tsglfcllyouiym5dtlwdrrbrp,Bottle bank,1,1,2,Battery bank,1,1,1,2,2,1,2,1,2,1,14,2020-06-04 18:28:17,,2020-06-04 18:29:36,b0fc7b7c36
yoxq3a03t8rpoyoxqsc0j0h935qle0xp,Bottle bank,1,1,2,Battery bank,2,1,,1,2,1,2,1,2,1,13,2020-06-04 18:26:32,,2020-06-04 18:28:11,b34e9e368d
pv8ejpjspf1lk9apv8erof5xvz5l64t3,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,2,1,15,2020-06-04 18:25:35,,2020-06-04 18:27:07,3f8c185490
5g560wn5utdrmu48lldo15g560wn5wyw,Bottle bank,1,2,2,Battery bank,2,2,1,2,2,1,1,2,1,1,8,2020-06-04 18:24:36,,2020-06-04 18:26:05,caec3b6a0c
pnhsz45tfzf98327bbpnhsz4jpfqgl51,Bottle bank,1,1,2,Battery bank,1,2,1,1,2,1,2,1,1,1,13,2020-06-04 18:23:44,,2020-06-04 18:25:24,b0222aebfa
q9q4qs8du8xarrqucq9q4wtcxdmumnn4,2,1,1,1,Battery bank,1,1,1,1,2,1,1,,1,1,10,2020-06-04 18:22:29,,2020-06-04 18:25:01,6a52a24a6e
rx26f8r12os62h15srx26f8rd8apllqj,Bottle bank,1,1,1,Battery bank,1,2,1,1,2,1,1,1,1,1,11,2020-06-04 18:22:08,,2020-06-04 18:24:12,8c214a4507
aaiswarz77xgjqxolaaisw9k2yiiq9vk,Bottle bank,1,1,1,Battery bank,1,1,1,1,2,1,1,2,2,1,12,2020-06-04 18:19:36,,2020-06-04 18:23:45,265fdf44c5
wkiso16j6z86s11cmwkisohis5w3787j,Bottle bank,1,2,2,Battery bank,1,2,1,1,2,1,1,1,2,1,12,2020-06-04 18:21:49,,2020-06-04 18:23:29,843bb78268
